Category,Resume
DevOps Engineer,"Cloud infrastructure engineer specializing in Kubernetes orchestration and GitOps practices. Experience with multi-cloud environments (AWS, Azure, GCP). Built automated deployment pipelines using Jenkins and ArgoCD. Expert in infrastructure as code with Terraform and Ansible. Experience with version control (Git), code reviews, and documentation."
Hadoop Developer,"Big data engineer with expertise in Hadoop ecosystem including Spark, Hive, and Kafka. Built data pipelines processing petabytes of data. Proficient in Python, Scala, and SQL. Experience with Snowflake, Databricks, and cloud data platforms."
Java Developer,"Senior Java engineer specializing in high-performance distributed systems. Expert in Spring ecosystem, Maven, and JUnit testing. Built event-driven architectures using Kafka and RabbitMQ. Experience with AWS, Docker, and Kubernetes for cloud-native deployments. Excellent problem-solving abilities and attention to detail."
Advocate,"Corporate lawyer with expertise in contract law, intellectual property, and compliance. Strong research with excellent communication and negotiation skills. Experience in litigation, legal drafting, and regulatory affairs. Proficient in legal research databases and document management systems. Experience working in cross-functional distributed teams."
Full Stack Developer,"Full stack developer with expertise in React, Node.js, and PostgreSQL. Built scalable web applications with modern JavaScript stack. Experience with Docker, AWS, and CI/CD pipelines. Strong understanding of both frontend and backend architecture. Passionate about continuous learning and professional development."
DotNet Developer,".NET developer with expertise in C#, ASP.NET Core, and Entity Framework. Built enterprise applications using microservices architecture. Experience with Azure, SQL Server, and Docker. Proficient in REST API development and agile methodologies. Strong background in agile methodology and team collaboration."
Python Developer,"Python developer with strong experience in Django, Flask, and FastAPI frameworks. Built RESTful APIs serving millions of requests. Proficient in PostgreSQL, Redis, and Docker. Implemented CI/CD pipelines and automated testing. Experience with microservices architecture and cloud deployment on AWS. Experience with version control (Git), code reviews, and documentation."
Testing,"Software testing professional with expertise in manual and automated testing. Experience in test planning, test case design, and defect management. Proficient in Selenium, JIRA, and SQL. Knowledge of Agile testing practices and CI/CD integration. Experience with version control (Git), code reviews, and documentation."
SAP Developer,"SAP technical consultant with expertise in ABAP programming, SAP HANA, and module configuration. Experience in SAP implementation projects, data migration, and integration. Strong knowledge of business processes and ERP workflows. Additional experience with cloud computing and DevOps practices."
Sales,"Sales professional with proven track record in B2B enterprise sales. Expert in CRM tools like Salesforce, pipeline management, and client relationship building. Strong negotiation, presentation, and communication skills. Experience in strategic account management and business development. Experience with version control (Git), code reviews, and documentation."
